Habitat,County,Site,Date,Techs,Station,Canopy,Weins10,Weins20,Weins30,Weins40,Weins50,Weins60,%Tree,%Shrub,%Grass,%Forb,%Bare,%DeadVeg,Other
Farm,Chittenden,Hort3,19/05/2019,EB,19,7.75,3,2,0,0,0,0,0,0,90,0,0,10,
Farm,Chittenden,Hort3,19/05/2019,EB,22,10.25,2,0,0,0,0,0,0,0,55,0,0,45,
Farm,Chittenden,Hort3,19/05/2019,EB,25,12,3,1,0,0,0,0,0,0,50,5,0,45,
Farm,Chittenden,Hort3,19/05/2019,EB,28,23.75,1,0,0,0,0,0,0,0,10,15,25,50,
Farm,Chittenden,Inter1,20/05/2019,EB,1,16.5,3,0,0,0,0,0,0,0,5,40,10,45,
Farm,Chittenden,Inter1,20/05/2019,EB,4,8.75,2,1,0,0,0,0,0,0,15,10,0,75,
Farm,Chittenden,Inter1,20/05/2019,EB,7,10.25,1,0,0,0,0,0,5,0,10,35,0,55,
Farm,Chittenden,Inter1,20/05/2019,EB,10,15.75,0,0,0,0,0,0,0,0,70,0,30,0,
Farm,Chittenden,Inter1,20/05/2019,EB,13,12,2,0,0,0,0,0,0,0,95,5,0,0,
Farm,Chittenden,Inter1,20/05/2019,EB,16,12,0,1,0,0,0,0,0,0,10,10,0,90,
Farm,Chittenden,Inter1,20/05/2019,EB,19,13.25,8,1,0,0,0,0,0,0,85,5,0,0,water 10%
Farm,Chittenden,Inter1,20/05/2019,EB,22,11.75,0,0,0,0,0,0,0,0,10,30,0,60,
Farm,Chittenden,Inter1,20/05/2019,EB,25,7,3,5,0,0,0,0,0,0,90,10,0,0,
Farm,Chittenden,Inter1,20/05/2019,EB,28,12.5,3,1,0,0,0,0,0,0,5,20,0,75,
Farm,Chittenden,Inter2,21/05/2019,EB,1,10.5,0,0,0,0,0,0,0,0,10,30,0,60,
Farm,Chittenden,Inter2,21/05/2019,EB,4,12.25,2,1,4,1,0,0,0,0,70,10,20,0,
Farm,Chittenden,Inter2,21/05/2019,EB,7,11.5,2,1,1,0,0,0,0,0,20,70,0,10,
Farm,Chittenden,Inter2,21/05/2019,EB,10,12.5,2,1,0,0,0,0,0,0,45,55,0,0,
Farm,Chittenden,Inter2,21/05/2019,EB,13,11.75,1,0,0,0,0,0,0,0,0,35,0,65,
Farm,Chittenden,Inter2,21/05/2019,EB,16,17,0,0,0,0,0,0,0,0,5,25,15,55,
Farm,Chittenden,Inter2,21/05/2019,EB,19,7.5,1,0,0,0,0,0,0,0,20,15,65,0,
Farm,Chittenden,Inter2,21/05/2019,EB,22,16.75,2,0,0,0,0,0,0,0,25,35,40,0,
Farm,Chittenden,Inter2,21/05/2019,EB,25,13.25,3,0,0,0,0,0,0,0,45,55,0,0,
Farm,Chittenden,Inter2,21/05/2019,EB,28,16.75,1,1,1,0,0,0,0,0,15,10,35,40,
Forest,Chittenden,Jericho2,25/5/2019,EB,1,23.75,0,0,0,0,0,0,5,0,0,5,0,90,
Forest,Chittenden,Jericho2,25/5/2019,EB,4,23.5,0,0,0,0,0,0,15,0,0,10,0,75,
Forest,Chittenden,Jericho2,25/5/2019,EB,7,23.75,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Chittenden,Jericho2,25/5/2019,EB,10,23.25,0,0,0,0,0,0,0,0,5,5,0,90,
Forest,Chittenden,Jericho2,25/5/2019,EB,13,24,0,0,0,0,0,0,0,0,5,0,0,95,
Forest,Chittenden,Jericho2,25/5/2019,EB,16,23.75,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Chittenden,Jericho2,25/5/2019,EB,19,24,0,0,0,0,0,0,0,0,5,0,0,95,
Forest,Chittenden,Jericho2,25/5/2019,EB,22,24,0,0,0,0,0,0,0,0,0,10,0,90,
Forest,Chittenden,Jericho2,25/5/2019,EB,25,24,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Chittenden,Jericho2,25/5/2019,EB,28,23.5,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Chittenden,Jericho1,26/5/2019,EB,1,24,0,0,0,0,0,0,0,0,0,15,0,85,
Forest,Chittenden,Jericho1,26/5/2019,EB,4,23.25,1,0,0,0,0,0,0,0,0,10,0,90,
Forest,Chittenden,Jericho1,26/5/2019,EB,7,22,1,0,0,0,0,0,0,15,0,20,0,65,
Forest,Chittenden,Jericho1,26/5/2019,EB,10,24,1,0,0,0,0,0,0,0,0,10,0,90,
Forest,Chittenden,Jericho1,26/5/2019,EB,13,24,0,0,0,0,0,0,15,0,0,20,0,65,
Forest,Chittenden,Jericho1,26/5/2019,EB,16,23.75,0,0,0,0,0,0,10,0,0,5,0,85,
Forest,Chittenden,Jericho1,26/5/2019,EB,19,23.5,1,0,0,0,0,0,0,0,5,5,0,90,
Forest,Chittenden,Jericho1,26/5/2019,EB,22,24,0,0,0,0,0,0,0,0,10,15,0,75,
Forest,Chittenden,Jericho1,26/5/2019,EB,25,23.75,0,0,0,0,0,0,0,0,0,15,0,85,
Forest,Chittenden,Jericho1,26/5/2019,EB,28,24,1,0,0,0,0,0,0,0,0,10,0,90,
Forest,Chittenden,Audubon1,28/5/2019,EB,1,0,1,2,0,0,0,0,0,0,65,35,0,0,
Forest,Chittenden,Audubon1,28/5/2019,EB,4,0,2,0,0,0,0,0,0,0,85,15,0,0,
Forest,Chittenden,Audubon1,28/5/2019,EB,7,0,5,4,0,0,0,0,0,0,75,25,0,0,
Forest,Chittenden,Audubon1,28/5/2019,EB,10,0,2,3,4,0,0,0,0,0,90,10,0,0,
Forest,Chittenden,Audubon1,28/5/2019,EB,13,0,3,2,2,1,0,0,0,0,80,20,0,0,
Forest,Chittenden,Audubon1,28/5/2019,EB,16,0,1,2,2,0,0,0,0,0,95,5,0,0,
Forest,Chittenden,Audubon1,28/5/2019,EB,19,0,1,2,0,0,0,0,0,0,55,30,0,15,
Forest,Chittenden,Audubon1,28/5/2019,EB,22,3.75,2,5,1,0,0,0,0,0,10,25,0,65,
Forest,Chittenden,Audubon1,28/5/2019,EB,25,1.75,1,4,3,0,0,0,0,20,70,10,0,0,
Forest,Chittenden,Audubon1,28/5/2019,EB,28,9,2,2,2,2,1,0,0,0,65,20,0,15,
Forest,Chittenden,Audubon2,29/05/2019,EB,1,21.5,1,0,0,0,0,0,5,5,10,10,0,70,
Forest,Chittenden,Audubon2,29/05/2019,EB,4,20.25,0,0,0,0,0,0,5,0,5,0,0,90,
Forest,Chittenden,Audubon2,29/05/2019,EB,7,22,0,0,0,0,0,0,0,0,0,35,0,65,
Forest,Chittenden,Audubon2,29/05/2019,EB,10,23.25,0,1,0,0,0,0,25,0,0,5,0,70,
Forest,Chittenden,Audubon2,29/05/2019,EB,13,22.75,0,0,0,0,0,0,0,0,5,0,0,95,
Forest,Chittenden,Audubon2,29/05/2019,EB,16,24,1,0,0,0,0,0,0,0,0,10,0,90,
Forest,Chittenden,Audubon2,29/05/2019,EB,19,24,0,0,0,0,0,0,5,0,0,15,0,80,
Forest,Chittenden,Audubon2,29/05/2019,EB,22,24,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Chittenden,Audubon2,29/05/2019,EB,25,23.5,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Chittenden,Audubon2,29/05/2019,EB,28,22.75,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Windsor,MBR1,08/06/2019,EB,1,23.25,0,0,0,0,0,0,5,0,0,0,0,95,
Forest,Windsor,MBR1,08/06/2019,EB,4,22.5,0,0,0,0,0,0,30,0,10,5,0,55,
Forest,Windsor,MBR1,08/06/2019,EB,7,19,0,1,2,0,0,0,5,0,0,40,0,55,
Forest,Windsor,MBR1,08/06/2019,EB,10,17.75,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windsor,MBR1,08/06/2019,EB,13,20.75,0,1,0,0,0,0,0,50,0,0,0,50,
Forest,Windsor,MBR1,08/06/2019,EB,16,21.75,0,2,0,0,0,0,20,0,0,45,0,35,
Forest,Windsor,MBR1,08/06/2019,EB,19,22.5,0,0,2,0,0,0,5,20,20,30,0,25,
Forest,Windsor,MBR1,08/06/2019,EB,22,24,0,0,0,0,0,0,20,0,0,5,0,75,
Forest,Windsor,MBR1,08/06/2019,EB,25,24,0,1,0,0,0,0,50,0,0,0,0,50,
Forest,Windsor,MBR1,08/06/2019,EB,28,23.5,0,0,0,0,0,0,0,0,0,35,0,65,
Field,Windsor,MBR2,05/06/2019,"EB, RO",1,0,0,2,0,0,0,0,0,0,20,80,0,0,
Field,Windsor,MBR2,05/06/2019,"EB, RO",4,0,2,2,1,0,0,0,0,0,65,35,0,0,
Field,Windsor,MBR2,05/06/2019,"EB, RO",7,0,3,2,1,0,0,0,0,0,55,45,0,0,
Field,Windsor,MBR2,05/06/2019,"EB, RO",10,0,4,1,0,0,0,0,0,0,70,30,0,0,
Field,Windsor,MBR2,05/06/2019,"EB, RO",13,0,3,2,0,0,0,0,0,0,70,10,0,0,
Field,Windsor,MBR2,05/06/2019,"EB, RO",16,0,2,2,2,0,0,0,0,0,60,40,0,20,
Field,Windsor,MBR2,05/06/2019,"EB, RO",19,0,2,4,1,2,2,0,0,0,90,10,0,0,
Field,Windsor,MBR2,05/06/2019,"EB, RO",22,0,1,1,2,1,1,0,0,0,95,5,0,0,
Field,Windsor,MBR2,05/06/2019,"EB, RO",25,0,1,3,1,2,0,0,0,0,90,10,0,0,
Field,Windsor,MBR2,05/06/2019,"EB, RO",28,0,1,4,3,2,1,0,0,0,75,15,0,10,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",1,21.25,0,0,0,0,0,0,5,0,0,10,0,85,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",4,23.25,0,0,0,0,0,0,15,0,0,10,0,75,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",7,22.25,0,0,0,0,0,1,15,0,10,5,0,70,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",10,24,0,0,0,0,0,0,10,0,0,10,0,80,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",13,22.25,0,0,0,0,0,0,0,0,0,15,0,85,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",16,24,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",19,16.75,0,0,4,3,0,0,10,0,0,50,0,40,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",22,24,0,0,0,0,0,0,5,0,0,0,0,95,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",25,23.5,0,0,0,0,0,0,0,0,0,20,0,80,
Forest,Windsor,MBR4,04/06/2019,"EB, RO",28,22.5,0,1,0,0,0,0,40,0,0,0,0,60,
Field,Windsor,MBR3,07/06/2019,EB,1,0,0,4,1,1,0,0,0,0,90,10,0,0,
Field,Windsor,MBR3,07/06/2019,EB,4,0,3,4,4,0,0,0,0,0,90,10,0,0,
Field,Windsor,MBR3,07/06/2019,EB,7,0,2,3,3,0,0,0,0,0,60,40,0,0,
Field,Windsor,MBR3,07/06/2019,EB,10,0,3,2,1,1,0,0,0,0,80,20,0,0,
Field,Windsor,MBR3,07/06/2019,EB,13,0,2,2,1,1,0,0,0,0,90,10,0,0,
Field,Windsor,MBR3,07/06/2019,EB,16,0,2,1,0,0,0,0,0,0,70,30,0,0,
Field,Windsor,MBR3,07/06/2019,EB,19,0,4,2,1,0,0,0,0,0,85,15,0,0,
Field,Windsor,MBR3,07/06/2019,EB,22,0,1,1,2,1,1,0,0,0,90,10,0,0,
Field,Windsor,MBR3,07/06/2019,EB,25,0,5,1,2,0,0,0,0,0,85,15,0,0,
Field,Windsor,MBR3,07/06/2019,EB,28,0,5,0,0,0,0,0,0,0,95,5,0,0,
Field,Orleans,Barr1,13/06/2019,EB,1,6.75,2,0,0,0,0,0,0,5,20,75,0,0,
Field,Orleans,Barr1,13/06/2019,EB,4,0,3,0,0,0,0,0,40,0,5,55,0,0,
Field,Orleans,Barr1,13/06/2019,EB,7,0,1,3,0,0,0,0,0,0,15,25,60,0,
Field,Orleans,Barr1,13/06/2019,EB,10,0,1,0,0,0,0,0,0,0,50,50,0,0,
Field,Orleans,Barr1,13/06/2019,EB,13,0,1,0,0,0,0,0,0,0,75,15,10,0,
Field,Orleans,Barr1,13/06/2019,EB,16,1,1,0,0,0,0,0,0,0,20,80,0,0,
Field,Orleans,Barr1,13/06/2019,EB,19,0,2,0,0,0,0,0,0,0,30,20,0,0,
Field,Orleans,Barr1,13/06/2019,EB,22,0,2,0,0,0,0,0,0,0,60,20,20,0,
Field,Orleans,Barr1,13/06/2019,EB,25,0,0,0,0,0,0,0,0,0,15,15,10,60,
Field,Orleans,Barr1,13/06/2019,EB,28,0,2,2,0,0,0,0,0,5,75,20,0,0,
Forest,Orleans,Barr2,14/06/2019,EB,1,24,0,0,0,0,0,0,0,0,0,15,10,20,moss 55%
Forest,Orleans,Barr2,14/06/2019,EB,4,23.25,0,0,0,0,0,0,0,0,0,25,0,75,
Forest,Orleans,Barr2,14/06/2019,EB,7,23.25,0,0,0,0,0,0,0,0,0,10,0,70,moss 20%
Forest,Orleans,Barr2,14/06/2019,EB,10,23,0,0,0,0,0,0,0,0,5,40,0,55,
Forest,Orleans,Barr2,14/06/2019,EB,13,23.25,0,0,0,0,0,0,0,0,15,25,10,10,moss 40%
Forest,Orleans,Barr2,14/06/2019,EB,16,21,1,0,0,0,0,0,0,0,5,15,5,0,moss 75%
Forest,Orleans,Barr2,14/06/2019,EB,19,23.5,0,0,0,0,0,0,0,0,0,0,0,85,moss 15%
Forest,Orleans,Barr2,14/06/2019,EB,22,23.75,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Orleans,Barr2,14/06/2019,EB,25,23.75,0,0,0,0,0,0,0,0,0,5,0,55,moss 40%
Forest,Orleans,Barr2,14/06/2019,EB,28,22.75,1,0,1,0,0,0,0,0,10,40,10,0,moss 40%
Farm,Addison,Elmer2,18/06/2019,"EB, BL",1,0,0,1,0,2,0,0,0,0,70,30,0,0,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",4,1,3,1,1,0,0,0,0,0,50,45,0,0,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",7,0,1,6,1,1,0,0,0,0,70,20,10,0,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",10,1.5,1,3,3,1,0,1,0,0,70,10,0,20,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",13,0.5,2,1,3,0,0,0,0,0,90,10,0,0,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",16,2.5,3,3,1,0,0,0,0,0,65,35,0,0,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",19,3,4,2,2,4,2,0,0,0,50,50,0,0,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",22,3.25,2,2,0,0,0,0,0,0,20,80,0,0,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",25,3.75,2,1,3,1,1,0,0,0,90,10,0,0,
Farm,Addison,Elmer2,18/06/2019,"EB, BL",28,1.5,2,3,2,2,1,1,0,0,95,5,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",1,0,3,0,0,0,0,0,0,0,30,70,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",4,0,4,1,0,0,0,0,0,0,10,90,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",7,0,4,3,2,0,0,0,0,0,20,80,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",10,0,3,2,0,0,0,0,0,0,10,90,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",13,0,4,3,0,3,0,0,0,0,30,70,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",16,0,2,3,1,0,0,0,0,0,15,85,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",19,0,4,1,0,0,0,0,0,0,40,60,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",22,0,4,3,0,0,0,0,0,0,35,65,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",25,0,3,2,1,1,1,0,0,0,90,10,0,0,
Farm,Addison,Elmer1,19/06/2019,"EB, BL",28,0,4,2,0,0,0,0,0,0,15,50,35,0,
Forest,Windham,Dummer1,24/06/2019,EB,1,22,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Windham,Dummer1,24/06/2019,EB,4,24,0,0,0,0,0,0,5,0,0,0,0,100,
Forest,Windham,Dummer1,24/06/2019,EB,7,24,0,0,0,0,0,0,0,0,0,0,0,95,
Forest,Windham,Dummer1,24/06/2019,EB,10,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windham,Dummer1,24/06/2019,EB,13,23,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windham,Dummer1,24/06/2019,EB,16,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windham,Dummer1,24/06/2019,EB,19,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windham,Dummer1,24/06/2019,EB,22,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windham,Dummer1,24/06/2019,EB,25,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windham,Dummer1,24/06/2019,EB,28,23.75,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windham,Dummer2,23/06/2019,EB,1,24,0,0,0,0,0,0,5,0,0,5,0,90,
Forest,Windham,Dummer2,23/06/2019,EB,4,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,Windham,Dummer2,23/06/2019,EB,7,24,1,0,0,0,0,0,5,0,0,5,0,90,
Forest,Windham,Dummer2,23/06/2019,EB,10,24,0,0,0,0,0,0,10,0,0,0,0,90,
Forest,Windham,Dummer2,23/06/2019,EB,13,24,0,0,0,0,0,0,5,0,0,5,0,90,
Forest,Windham,Dummer2,23/06/2019,EB,16,24,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,Windham,Dummer2,23/06/2019,EB,19,24,1,0,0,0,0,0,0,0,5,25,0,70,
Forest,Windham,Dummer2,23/06/2019,EB,22,24,0,0,0,0,0,0,5,0,0,10,0,85,
Forest,Windham,Dummer2,23/06/2019,EB,25,24,0,0,0,0,0,0,10,5,0,10,0,75,
Forest,Windham,Dummer2,23/06/2019,EB,28,24,0,0,0,0,0,0,0,0,0,5,0,95,
Field,Chittenden,StM1,06/07/2019,EB,1,3.5,3,1,1,0,0,0,0,20,80,0,0,0,
Field,Chittenden,StM1,06/07/2019,EB,4,0,1,0,1,1,0,0,0,0,100,0,0,0,
Field,Chittenden,StM1,06/07/2019,EB,7,0,1,0,1,0,0,0,0,0,100,0,0,0,
Field,Chittenden,StM1,06/07/2019,EB,10,0,0,0,0,0,0,3,0,0,50,0,15,35,
Field,Chittenden,StM1,06/07/2019,EB,13,0,1,4,1,0,2,1,0,0,50,0,0,50,
Field,Chittenden,StM1,06/07/2019,EB,16,0,0,0,0,1,0,1,0,0,40,0,0,60,
Field,Chittenden,StM1,06/07/2019,EB,19,0,2,2,0,1,0,0,0,0,45,10,0,45,
Field,Chittenden,StM1,06/07/2019,EB,22,0,3,1,0,0,0,0,0,0,100,0,0,0,
Field,Chittenden,StM1,06/07/2019,EB,25,0,2,0,0,0,0,0,0,0,20,80,0,0,
Field,Chittenden,StM1,06/07/2019,EB,28,0,1,0,1,0,0,0,0,0,0,60,0,40,
Field,Chittenden,StM2,07/07/2019,EB,1,0,1,1,0,0,0,0,0,0,80,20,0,0,
Field,Chittenden,StM2,07/07/2019,EB,4,0,0,0,0,0,0,0,0,0,35,5,60,0,
Field,Chittenden,StM2,07/07/2019,EB,7,0,2,0,0,0,0,0,0,0,10,15,70,0,
Field,Chittenden,StM2,07/07/2019,EB,10,0,2,2,0,0,0,0,0,0,5,25,70,0,
Field,Chittenden,StM2,07/07/2019,EB,13,0,0,0,0,0,1,0,0,0,20,35,45,0,
Field,Chittenden,StM2,07/07/2019,EB,16,0,1,0,2,1,0,0,0,0,30,10,60,0,
Field,Chittenden,StM2,07/07/2019,EB,19,0,0,0,2,2,0,0,0,0,15,10,75,0,
Field,Chittenden,StM2,07/07/2019,EB,22,0,0,0,0,0,0,0,0,0,10,15,75,0,
Field,Chittenden,StM2,07/07/2019,EB,25,0,0,0,0,0,0,1,0,0,20,10,70,0,
Field,Chittenden,StM2,07/07/2019,EB,28,0,2,0,0,0,0,6,0,0,15,20,65,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",1,0,2,1,2,0,0,0,0,0,60,40,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",4,0,2,2,0,0,0,0,0,0,25,75,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",7,0,2,2,0,0,0,0,0,0,30,65,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",10,0,3,2,0,0,0,0,0,0,45,55,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",13,0,3,1,1,0,0,0,0,0,80,20,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",16,0,3,3,0,0,0,0,0,0,60,40,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",19,0,4,3,1,0,0,0,0,0,35,65,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",22,0,3,3,0,0,0,0,0,0,50,50,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",25,0,3,1,0,0,0,0,0,0,40,60,0,0,
Farm,GrandIsle,Borderview2,11/07/2019,"EB, BL",28,0,4,2,0,0,0,0,0,0,90,10,0,0,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",1,8,1,0,0,0,0,0,0,0,15,85,0,0,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",4,6.25,0,0,0,0,0,0,0,0,5,15,0,80,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",7,11.75,2,0,0,0,0,0,0,0,80,20,0,0,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",10,12,2,0,1,0,0,0,0,0,30,60,0,10,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",13,8,1,0,0,0,0,0,0,0,75,25,0,0,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",16,17.25,3,1,0,1,0,0,0,0,25,60,0,15,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",19,11.75,3,1,0,0,0,0,0,0,80,20,0,0,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",22,7.75,2,2,2,0,0,0,0,0,45,55,0,0,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",25,6.25,4,1,2,0,0,0,0,0,15,75,10,0,
Farm,GrandIsle,Borderview1,12/07/2019,"EB, BL",28,7,3,0,0,0,0,0,0,0,45,50,5,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,1,1.25,5,1,1,1,0,0,0,0,40,60,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,4,0.25,3,2,1,0,0,0,0,0,75,25,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,7,0,2,1,0,0,0,0,0,0,30,70,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,10,0,0,3,1,0,0,0,0,0,80,20,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,13,0,1,2,0,0,0,0,0,0,15,85,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,16,0,2,3,0,0,0,0,0,0,10,90,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,19,0,2,3,1,0,0,0,0,0,45,55,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,22,0,2,1,1,1,0,0,0,0,90,10,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,25,0,3,1,0,0,0,0,0,0,50,50,0,0,
Field,GrandIsle,Butternut1,15/07/2019,EB,28,0,2,1,1,0,0,0,0,0,15,80,5,0,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",1,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",4,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",7,24,0,0,0,0,0,0,5,0,0,0,0,95,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",10,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",13,24,0,0,0,0,0,0,0,0,0,0,0,95,Moss 5%
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",16,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",19,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",22,24,0,0,0,0,0,0,0,0,0,0,0,100,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",25,24,0,0,0,0,0,0,0,0,0,5,0,95,
Forest,GrandIsle,Butternut2,14/07/2019,"EB, BL",28,24,0,0,0,0,0,0,0,5,0,0,0,80,moss 15%
Field,Rutland,Buck4,20/07/2019,"EB,OB",1,0,1,1,0,0,0,0,0,0,80,20,0,0,
Field,Rutland,Buck4,20/07/2019,"EB,OB",4,0,1,3,0,0,0,0,0,0,85,15,0,0,
Field,Rutland,Buck4,20/07/2019,"EB,OB",7,0,1,1,0,0,0,0,0,0,45,55,0,0,
Field,Rutland,Buck4,20/07/2019,"EB,OB",10,0,4,2,1,0,0,0,0,0,90,10,0,0,
Field,Rutland,Buck4,20/07/2019,"EB,OB",13,0,3,2,0,0,0,0,0,0,75,25,0,0,
Field,Rutland,Buck4,20/07/2019,"EB,OB",16,0,3,3,0,0,0,0,0,0,85,15,0,0,
Field,Rutland,Buck4,20/07/2019,"EB,OB",19,0,2,1,2,0,0,0,0,0,90,10,0,0,
